priority;name;url;cluster;platform_focus;members;online;evidence_chat;ad_contact;ad_rules;fit_score;outreach_angle;status;source_url;notes
P0;Wildberries | ЧАТ Поставщиков;https://t.me/wbmarket_place;WB селлеры;Wildberries;34640;7074;Telegram preview, supplier questions;@WornerBratz;spam and unapproved ads banned;5;нативный кейс карточки для бытового товара за 30 секунд;write_admin_first;https://t.me/wbmarket_place;высокий online
P0;Обмен опытом WB OZON;https://t.me/sellerwb_chat;общие селлеры;WB/Ozon;31085;3605;Telegram preview says experience exchange chat;@romchet;ads via admin;4;экономия времени на подготовке карточек;write_admin_first;https://t.me/sellerwb_chat;хороший mixed WB/Ozon-кандидат
P0;Wildberries поставщики | Чат Инфографика;https://t.me/wbnahodkychat;инфографика и поставщики;Wildberries;22892;1234;Telegram preview, mutual help for suppliers and designers;@Art_666999;ads purchase link visible;5;SEO плюс визуал карточки в одном боте;write_admin_first;https://t.me/wbnahodkychat;точка входа через дизайнеров
P0;Wildberries Поставщики;https://t.me/wildberries_groupchat;WB селлеры;Wildberries/Ozon;21447;3026;Telegram preview, marketplace suppliers;@Ordering_Advertising_Bot, @MishaGD1, @SantaKonov_Worker;unapproved ads banned;5;инструмент для новичков и малых продавцов;write_admin_first;https://t.me/wildberries_groupchat;есть рекламный бот/менеджеры
P0;ЧАТ Семья на Wildberries & OZON;https://t.me/sellermpchat;общие селлеры;WB/Ozon;17974;4934;Telegram preview group for sellers;@Alena_Matviichuk;rules in telegra.ph, unban contact visible;4;генератор карточек для мелких селлеров WB/Ozon;write_admin_first;https://t.me/sellermpchat;очень высокий online к размеру
P0;OZON seller.;https://t.me/ozon_sllr;Ozon селлеры;Ozon;17419;2832;Telegram preview shows seller group members and online;@mp_sllr;ads banned without approval;4;Ozon: характеристики, описание, ключи;write_admin_first;https://t.me/ozon_sllr;вероятно сетка с WB seller
P0;Продавцы на Озон. OZON. Чат.;https://t.me/ozon_mp_top;Ozon селлеры;Ozon;16000;632;catalog marks as chat for Ozon sellers;@Reklamavchatah_bot, @uma_admins, @GlebAdmin_chat, @uma_moderator;ads via bot/admins;5;автоматизация текста карточки для продавцов Ozon;verify_then_write_admin;https://t1000.me/386-ozon_mp_top.html;live t.me preview не подтвержден
P0;Продавцы на Wildberries. ВБ. Чат.;https://t.me/wildberries_4at;WB селлеры;Wildberries;14853;1904;Telegram preview, WB sellers chat;@uma_admins, @uma_moderator;ads/support via admins;5;пробная генерация карточки по одному сообщению;write_admin_first;https://t.me/wildberries_4at;та же admin-сетка, что ozon_mp_top
P0;Wildberries | Чат поставщиков | MP Group;https://t.me/mpgroup_wildberries;WB селлеры;Wildberries;13739;2784;Telegram preview, support chat for suppliers;@info_mpgroupbot;cooperation via bot;4;демо или мини-вебинар генератора карточек;write_admin_first;https://t.me/mpgroup_wildberries;связка с Ozon MP Group
P0;Дизайнеры Wildberries и Ozon | Инфографика;https://t.me/dizainer_wb;инфографика и карточки;WB/Ozon;12458;1455;Telegram preview, designers and suppliers;@dizainer_wb_bot, @designers_admin;ads via admins;5;лиды дизайнерам, быстрее ТЗ и тексты;write_admin_first;https://t.me/dizainer_wb;хороший бартерный угол
P0;MPSolutions | Brain Lab ЧАТ;https://t.me/ru_marketplace;общие маркетплейсы;WB/Ozon;10737;2415;Telegram preview, entrepreneurs and specialists exchange experience;@jonnbravo;ads banned without approval;4;инструмент для специалистов, ведущих карточки клиентам;write_admin_first;https://t.me/ru_marketplace;не узко про карточки, но аудитория сильная
P0;Wildberries Ozon чат поставщиков;https://t.me/+WGe1cCCpppUoLgyG;общие селлеры;WB/Ozon;10927;3295;Telegram invite group page shows members and online;@artur_sham;spam banned, ads/unban via admin;4;новичкам не разбираться в SEO, а получить структуру;write_admin_first;https://t.me/+WGe1cCCpppUoLgyG;invite-link, проверить доступность перед outreach
P0;ЧАТ поставщиков Wildberries - Альянс;https://t.me/wildberries_marketplace_chat;WB селлеры;Wildberries;10140;1561;Telegram preview, supplier questions and news;@Snezha_91;announcements in chat banned;5;согласованный полезный пост с примером карточки;write_admin_first;https://t.me/wildberries_marketplace_chat;дублируется в нескольких поисковых кластерах
P0;Ozon | Чат поставщиков;https://t.me/mpgroup_ozon;Ozon селлеры;Ozon;9199;980;Telegram preview, Ozon supplier support chat;@info_mpgroupbot;cooperation via bot;5;быстрый шаблон карточки Ozon перед запуском товара;write_admin_first;https://t.me/mpgroup_ozon;связка с MP Group WB
P1;Маркетплейсы чат поставщиков;https://t.me/chat_market;общие маркетплейсы;WB/Ozon;25400;not visible;Nicegram/TGStat marks as group/chat;@pr_admn, @reklama_mplace;ads via admins;4;генерация карточек для WB/Ozon/ЯМ;verify_then_write_admin;https://nicegram.app/hub/group/chat_market;проверить live preview вручную
P1;Поставщики Маркетплейсов;https://t.me/mplace_wildberries_ozon_help;общие маркетплейсы;WB/Ozon;78100;not visible;Nicegram/TGStat marks as group/chat;@reklama_mplace;ads via admin;4;массовый охват, но сначала проверить качество;verify_then_write_admin;https://nicegram.app/hub/group/mplace_wildberries_ozon_help;очень крупный, но источник вторичный
P1;Сертификация, документы для торговли WB/Ozon;https://t.me/wb_ozonchat;документы и сертификация;WB/Ozon;21529;2596;Telegram preview, certification/documents for marketplace trade;@MaximShinkevich;unapproved ads banned;3;после документов быстро подготовить карточку к публикации;write_admin_first;https://t.me/wb_ozonchat;смежная боль, не основной ICP
P1;Wildberries Чат поставщиков;https://t.me/wildberrieschats;WB селлеры;Wildberries;19721;3716;Telegram preview supplier chat;@lantson;ads/cooperation via admin;4;5 ошибок в описаниях, которые режут конверсию;write_admin_first;https://t.me/wildberrieschats;хороший охват
P1;Дизайнеры карточек маркетплейсов, инфографика;https://t.me/dizainer_ozonwb;инфографика и карточки;WB/Ozon;12576;not visible;Telegram.Menu marks as public group/chat;@uma_admins, @uma_moderator;ads/support via admins;3;CardBot как генератор ТЗ и текста для дизайнера;verify_then_write_admin;https://telegram.menu/%40dizainer_ozonwb;подходит для партнерств
P1;WILDBERRIES seller.;https://t.me/wildberries_sllr;WB селлеры;Wildberries;12427;1496;Telegram preview shows seller group members and online;@mp_sllr;ads banned without approval;4;WB SEO, ключи и описания;write_admin_first;https://t.me/wildberries_sllr;сетка с ozon_sllr
P1;Дизайнеры Wildberries и Ozon | Инфографика;https://t.me/dizainer_wb_ozon;инфографика и карточки;WB/Ozon;9572;749;Telegram preview, chat for finding designers;@designers_admin;ads via admin;4;ко-маркетинг с дизайнерами карточек;write_admin_first;https://t.me/dizainer_wb_ozon;смежный канал, не прямые селлеры
P1;МАРКЕТПЛЕЙСЫ ЧАТ ПОСТАВЩИКОВ / WILDBERRIES OZON;https://t.me/chats_marketplaces;общие маркетплейсы;WB/Ozon;7781;997;Telegram preview, supplier communication and experience exchange;@w_worker, telega.in/c/chats_marketplaces;ads via admin or telega.in;4;чеклист что должно быть в карточке товара;write_admin_first;https://t.me/chats_marketplaces;есть рекламная инфраструктура
P1;OZON чат поставщиков;https://t.me/ozon_mplace;Ozon селлеры;Ozon;7167;1186;Telegram preview, supplier chat;@alex_adver;ads banned without approval;4;отдельный оффер под Ozon SEO;write_admin_first;https://t.me/ozon_mplace;живой Ozon-чат
P1;MPGO Чат;https://t.me/mpgo_chat;общие маркетплейсы;WB/Ozon/ЯМ;7113;2134;Telegram preview says seller chat;@mpgo_info;ads prohibited without approval;5;ИИ для карточек WB/Ozon;write_admin_first;https://t.me/mpgo_chat;хороший fit, вероятно строгие правила
P1;Wildberries | Поставщики | ЧАТ;https://t.me/wbcomm;WB селлеры;Wildberries;6811;496;Telegram preview, mutual help suppliers chat;@havenick;sale of services in chat strictly prohibited;4;только через админа, обзор инструмента без самопромо;write_admin_first;https://t.me/wbcomm;не писать в чат напрямую
P1;ВАЙЛДБЕРРИЗ и ОЗОН НОВОСИБИРСК ЧАТ ПОСТАВЩИКОВ;https://t.me/wildberrisozonSB;региональные селлеры;WB/Ozon;6628;14;Telegram preview, exchange experience and talk;not found;not found;4;локальный кейс для сибирских поставщиков;verify_admin;https://t.me/wildberrisozonSB;низкий online, региональный тест
P1;Чат для поставщиков Wildberries/Ozon;https://t.me/wildberries_chat_ozon;общие селлеры;WB/Ozon;6530;492;Telegram preview, seller questions;@wb_natal;unapproved ads/insults/flood banned;4;один бот готовит карточку под WB и Ozon;write_admin_first;https://t.me/wildberries_chat_ozon;релевантный mixed chat
P1;Подслушано Wildberries;https://t.me/podslush_wb;WB/Ozon продвижение;WB/Ozon;6022;134;Telegram preview, WB/Ozon promotion and suppliers;@Du3actep;ads via admin;3;до/после SEO-текста карточки;write_admin_first;https://t.me/podslush_wb;проверить качество обсуждений
P1;Wildberries & Ozon Чат;https://t.me/wb_ozon_marketplace;FAQ и общие вопросы;WB/Ozon/ЯМ;5596;431;Telegram preview, FAQ chat for suppliers;@semaxx;post+pin price visible 2000 rub;4;тестовый рекламный пост с оффером;write_admin_first;https://t.me/wb_ozon_marketplace;есть понятная цена размещения
P1;FBS WB;https://t.me/wildberriesfbs;WB FBS;Wildberries;5030;403;Telegram preview, WB FBS seller chat;@entexpert;rules visible;3;FBS-продавцам быстро готовить карточки новых SKU;write_admin_first;https://t.me/wildberriesfbs;официальность требует аккуратности
P1;WB PLACE - ЧАТ ПОСТАВЩИКОВ;https://t.me/wb_place;WB селлеры;Wildberries;4931;55;Telegram preview, supplier community;not found;not found;3;аккуратный пост через админа;verify_admin;https://t.me/wb_place;умеренная активность
P1;OZON | Чат поставщиков;https://t.me/ozon_marketp;Ozon селлеры;Ozon;4100;30;Telegram preview, mutual help Ozon suppliers;not found;cooperation/ads mentioned, unapproved ads prohibited;5;разбор одной карточки товара через бота;write_admin_first;https://t.me/ozon_marketp;низкий online, но прямой fit
P1;Продавцы маркетплейсов WB, OZON, AliExpress, Яндекс.Маркет;https://t.me/sellersmessenger;общие продавцы;WB/Ozon/AliExpress/ЯМ;3630;not visible;Telegram.Menu marks as public group/chat;not found;not found;4;обмен опытом, быстрый способ подготовить карточку;verify_admin;https://telegram.menu/%40sellersmessenger;проверить live preview
P1;МАРКЕТПЛЕЙС ЧАТ;https://t.me/market_vvb;общие маркетплейсы;WB/Ozon/ЯМ;3353;not visible;Telegram.Menu public group/chat;@saskkas;unapproved ads banned;4;для новичков карточка без знания SEO;verify_then_write_admin;https://telegram.menu/%40market_vvb;источник вторичный
P1;Помощь Wildberries Чат Поддержка Поставщиков;https://t.me/WbHelper;WB селлеры;Wildberries;3146;303;Telegram preview, supplier help;@AliceWaldorf;cooperation via admin;4;быстро привести карточку к нормальному виду;write_admin_first;https://t.me/WbHelper;малый, но тематичный
P1;Wildberries | Ozon | Чат для селлеров;https://t.me/chatsellerov;общие селлеры;WB/Ozon;2835;147;Telegram preview, WB/Ozon seller chat;@ann06_ch;ads prohibited;4;бот выдает текст сразу в 4 блоках;write_admin_first;https://t.me/chatsellerov;аккуратно через эксперта/админа
P1;Pro Ozon. Продвижение на Ozon.;https://t.me/+TZiJ48i409hjOWVi;Ozon продвижение;Ozon;2730;not visible;Telegram.Menu private group chat, sellers and managers share experience;@volosatovv;ads/spam/announcements banned;5;SEO-карточка как часть продвижения Ozon;verify_then_write_admin;https://telegram.menu/UvomEnuQTXg2Yjky;invite/private, проверить доступность
P1;WB OZON Селлеры;https://t.me/top_seller_wb_ozon;общие селлеры;WB/Ozon;2342;104;Telegram preview, marketplaces Russia;@rmn_9s;ads without approval banned;4;универсальный angle WB/Ozon для малого продавца;write_admin_first;https://t.me/top_seller_wb_ozon;малый тест
P1;ЧАТ OZON SELLER;https://t.me/ozon_partners;Ozon селлеры;Ozon;2166;28;Telegram preview, mutual help group;@MihailovAndrey;ads prohibited;3;демонстрация для новых поставщиков Ozon;write_admin_first;https://t.me/ozon_partners;низкий online
P1;Чат селлеров БК Квант;https://t.me/WBquantum;аналитика и продвижение;WB/Ozon;1941;43;Telegram preview, seller chat on analytics and promotion;not found;not found;3;ИИ-инструменты и аналитика карточек;verify_admin;https://t.me/WBquantum;смежный аналитический кластер
P1;Ozon ЧАТ поставщиков;https://t.me/ozon_partner;Ozon селлеры;Ozon;1668;380;Telegram preview, chat for Ozon suppliers;@alina_fazylova;helper search and unapproved ads banned;5;карточка Ozon без SEO-ошибок;write_admin_first;https://t.me/ozon_partner;малый, но активный
P1;Инфографика Wildberries | Ozon;https://t.me/infografika_chatdesign;инфографика;WB/Ozon;1528;147;Telegram preview, infographic designers chat;@NeSonya08;not found;4;партнерка с дизайнерами карточек;write_admin_first;https://t.me/infografika_chatdesign;смежный кластер
P1;Поставщики Wildberries | Чат Вайлдбериз;https://t.me/wbprosell;WB селлеры;Wildberries;1272;188;Telegram preview, WB sellers;not found;not found;4;полезный разбор карточки без рекламного захода;verify_admin;https://t.me/wbprosell;малый активный чат
P1;Озон Поставщики маркетплейсы;https://t.me/Ozon_community;Ozon селлеры;Ozon;1260;429;Telegram preview, can view and join;@AlexanderMarinkin;ads prohibited;5;полезный разбор ошибок в карточках без прямой рекламы;write_admin_first;https://t.me/Ozon_community;малый, но высокий online
P2;Маркетплейс | Чат поставщиков;https://t.me/marketplace_chats;общие маркетплейсы;WB/Ozon;not found;not visible;catalog marks as Telegram chat about marketplaces;@vasiliy_shipov, @koroljulia;unapproved ads banned;3;мини-гайд по карточкам плюс согласованное размещение;verify_then_write_admin;https://ru.intelegram.one/chat/marketplace_chats;нет live-метрик
P2;Маркетплейсы|Поставщики|Инфографика;https://t.me/infographics_chat;инфографика и поставщики;WB/Ozon;8093;1334;Telegram preview, mutual help for suppliers and designers;@Art_666999;ads purchase link visible;4;поставщикам без дизайнера и копирайтера;write_admin_first;https://t.me/infographics_chat;смежный, хороший для партнерства
P2;Инфографика Wildberries | Ozon;https://t.me/ozon_marketplace_wildberries;инфографика;WB/Ozon;646;75;Telegram preview, infographic designers chat;@NeSonya08;not found;3;малый тест в дизайн-кластере;write_admin_first;https://t.me/ozon_marketplace_wildberries;малый охват
P2;Фулфилмент/Чат селлеров WB,OZON;https://t.me/fulfilment_chat_linebox;фулфилмент;WB/Ozon;521;133;Telegram preview says seller chat WB/Ozon;not found;not found;3;карточки до отгрузки и запуска партии;verify_admin;https://t.me/fulfilment_chat_linebox;смежный operational-кластер
P2;Wildberries & Ozon | Чат поставщиков;https://t.me/sellery_chat_ozon_wb;малые селлеры и ПВЗ;WB/Ozon;398;26;Telegram preview, supplier chat;not found;not found;2;тест малой группы;verify_admin;https://t.me/sellery_chat_ozon_wb;низкий охват
P2;WB Sellers-Чат;https://t.me/WB_sellers_vip;WB селлеры;Wildberries;357;77;Telegram preview, WB supplier help;not found;not found;3;ручной нетворкинг через админа;verify_admin;https://t.me/WB_sellers_vip;малый активный чат
P2;MPGO Логистика;https://t.me/mpgo_logistics;логистика и закупки;WB/Ozon;231;103;Telegram preview, carriers/sellers/buyers;@mpgo_info;not found;3;перед поставкой быстро заполнить карточки;write_admin_first;https://t.me/mpgo_logistics;смежный кластер, низкий охват
P2;Чат продавцов Яндекс Маркета 2.0;https://t.me/chat_marketplace_YM2;Яндекс Маркет продавцы;ЯМ;14295;1999;Telegram preview says seller chat;@YandexMarketSupportBot;rules visible;3;вторичный кластер для карточек ЯМ плюс WB/Ozon;defer;https://t.me/chat_marketplace_YM2;не основной фокус CardBot сейчас
